"delta1","delta2","Psi11","Psi12","Psi21","Psi22","Theta1","Theta2","Phi1","Phi2","Participant","SSE","AIC","BIC","sigma2_est"
0.105756725171977,0.326115748310701,0.0491712772079174,0.0065932751681916,-0.0671268552229005,-0.0142553898573768,0.220536359593225,0.299124465090376,-0.0788940447060064,0.026191804484507,"1",8.10466684480406,-419.578951652979,-380.268504881977,0.0583069557180148
0.375568350591269,0.518082050523854,0.100081089642845,0.00693427592734648,-0.100726874136481,-0.00701912010983006,0.115193127028202,0.159897128185271,0.074870314274169,0.0391158442297455,"2",5.11231703882066,-489.618623646112,-450.30817687511,0.0367792592720911
0.321286812113147,0.226403393162798,0.116592543772286,0.00110085090929435,-0.0631366724859184,-0.00843445041322816,0.204344663504578,0.265102525584518,-0.058646586502892,-0.0939922388397696,"3",8.38494892884756,-414.411216887501,-375.100770116499,0.0603233735888314
0.367131124774444,0.489848179083516,0.124728596437208,0.00724696938984236,-0.115854928035349,-0.0109637504935578,0.0348258376361415,-0.00603365810638822,-0.0927859958068446,0.17613737760146,"4",13.1008026676927,-346.58346706634,-307.273020295338,0.094250378904264
0.0662606210158732,0.111313269016116,0.0535931862784927,0.00768626552440109,-0.0428032756158066,-0.00410938061771007,0.762600649722531,0.787039510199738,-0.43073709109701,-0.306721491687639,"5",5.0348824730335,-491.938531216018,-452.628084445016,0.0362221760649892
0.24364984881343,0.546996507422618,0.0931014276088155,0.00816482596096482,-0.102930123530917,-0.00994886263819874,0.217015257181579,0.169044603358714,-0.281249245503906,0.0810858924047191,"6",13.1908756476676,-345.541985700573,-306.231538929571,0.0948983859544429
0.133891453477975,0.0385507365244849,0.0607860476292109,0.00726045832943974,-0.0423645165366175,0.00116219572019489,0.640338722995726,0.924913716645933,-0.315218119780524,-0.580951816893864,"7",15.1622762262578,-324.370640767932,-285.06019399693,0.109081123929912
0.0442876954381351,0.102681422201265,0.0205167534404819,0.00651034430956278,-0.0174628727592257,0.0009328342963729,0.844370546507004,0.847192007450691,-0.297465854295894,-0.476917618813196,"8",6.79694530259837,-446.325898929594,-407.015452158593,0.048898887069053
0.337152827254682,0.0754200441551345,0.111125915588037,0.00449916868657856,0.00267446521258187,-0.00181800541117929,0.185398300555357,0.708502946951045,-0.133023367934491,-0.379799269589629,"9",9.13357191670943,-401.412398477501,-362.1019517065,0.065709150479924
0.336249318743175,0.364487956908518,0.118130176899581,0.0046994223097846,-0.106875100375836,0.00131893558371307,0.250496946215519,0.258646446045235,-0.171654626562857,-0.106226237028703,"10",13.0382012239274,-347.311531355595,-308.001084584593,0.0938000088052334
0.326975725891881,0.227868753322948,0.0797921677043632,0.00123848650806644,-0.0618484054906254,-0.00332759633196121,0.40410209037038,0.555228784037196,-0.320292805914438,-0.220722676592839,"11",12.3181673400057,-355.946409958703,-316.635963187701,0.0886199089209041
0.139285524354234,0.102367871111704,0.0314382987748566,0.00989368178095371,-0.0277696100178607,-0.0059010710952495,0.442201352494776,0.755785487268995,-0.14197838223073,-0.327672499313935,"12",13.949242098677,-337.045212272613,-297.734765501611,0.100354259702712
0.31036198279525,0.262894514785392,0.100805185850871,0.00960528435667789,-0.102522571512324,-0.0060829301026325,0.0837244029001637,0.237935739872123,0.0356533425153591,-0.130366803401413,"13",10.7196974917402,-377.073232867693,-337.762786096691,0.0771201258398574
0.143155944427086,0.388404158938025,0.062538473049691,0.0120141942693967,-0.0720399381516165,-0.00688763299526376,0.393740839612885,0.430061157364449,0.153706185405778,0.134337337118309,"14",12.0859031890009,-358.83979751363,-319.529350742628,0.0869489438057616
0.153534719306028,0.371501379746236,0.0604839859109077,0.0102873610127568,-0.0556179314434536,-0.0114066530697835,0.476096186905771,0.46440072036041,-0.092165871912893,-0.0441147761983655,"15",10.3726435990045,-382.075707734031,-342.765260963029,0.0746233352446368
0.128893126733601,0.118673354620114,0.0445110517360344,0.00795922384025412,-0.0353399722315207,-0.00363484056174965,0.666547141906796,0.841369518265942,-0.288721633818972,-0.310243743228728,"16",4.6773231246552,-503.135492583753,-463.825045812752,0.0336498066521957
0.329379927386188,0.650343365763663,0.110821338534443,0.0175488529209284,-0.110094909691001,-0.0175141369852125,0.0369717346823242,0.0259923201805181,0.206802449528293,0.196649049601285,"17",9.20341334131381,-400.25452571652,-360.944078945519,0.0662116067720418
0.359926951723865,0.0911104963996289,0.0890424084641165,0.00217858702584886,-0.0237873859361668,-0.000307794756065219,0.307572715873024,0.857503663926415,0.022742112657257,-0.381497344152983,"18",8.42953335441856,-413.605144068287,-374.294697297285,0.0606441248519321
