"delta1","delta2","Psi11","Psi12","Psi21","Psi22","Theta1","Theta2","Participant","SSE","AIC","BIC","sigma2_est"
0.114203421347427,0.34938871420655,0.0485578056137409,0.00697508163612163,-0.0678604504086594,-0.0158518968306048,0.183182113808053,0.249084015962972,"1",8.8333143014865,-410.493235123131,-377.230549393822,0.0626476191594787
0.373688357242128,0.51752824313837,0.101950352742997,0.0069665714603741,-0.101949744286295,-0.00707984173170838,0.120162890165906,0.147500109411238,"2",5.28789738989928,-488.48589306801,-455.223207338701,0.03750281836808
0.308848868849019,0.19669752043293,0.116375311458753,0.000603483616557708,-0.061623241109146,-0.00705479663251587,0.241754137798072,0.354013851855628,"3",8.54173800753413,-415.595235038349,-382.33254930904,0.0605797021810931
0.364225192270195,0.501120001378632,0.12463984084911,0.00715215741276351,-0.114984022649262,-0.01140781693796,0.0405243100299802,-0.0276974790516524,"4",13.3631556685146,-347.569635040211,-314.306949310902,0.0947741536774083
0.0707244329435374,0.57581476548475,0.0510591207495902,0.00726807469087953,-0.0247548248725473,-0.0365867087738311,0.759826951145366,0.00886620653018572,"5",8.68167369556602,-413.125260681182,-379.862574951873,0.0615721538692626
0.246940628744084,0.538315786585368,0.0915504159797784,0.00880945235810889,-0.105217673203573,-0.0097985455796664,0.19646117754577,0.181062776170418,"6",13.5511330860886,-345.44637387293,-312.183688143621,0.0961073268516924
0.105258360096971,0.500816690909216,0.0649720256628101,0.00835759092024,-0.0533578120145048,-0.00936419512603084,0.674418546893236,0.330210403242612,"7",22.4268914371218,-268.870205258288,-235.607519528979,0.159055967639162
0.0861369655758491,0.865938678100022,0.022389350162245,0.0105805145025204,-0.0114139755848796,-0.00826407296059351,0.739365460509416,-0.0432457123930464,"8",14.6771996172996,-333.31296219848,-300.050276469171,0.104093614307089
0.355074682858727,0.117350770677014,0.111482846939445,0.0046336113111051,0.00166076370377078,-0.00399767897488109,0.1523756962979,0.572471465312827,"9",9.83097765937123,-394.228004509611,-360.965318780302,0.0697232458111435
0.338359160536631,0.358702209459473,0.118728949424407,0.00502999808272524,-0.107290451145584,0.0010546020302084,0.239351019795867,0.278595229975426,"10",13.2364493588948,-349.017739605161,-315.755053875852,0.0938755273680485
0.306718190972823,0.2251947861226,0.0806274975381795,-0.000129965745946028,-0.0613011675055839,-0.00365974076872161,0.460983065922848,0.569286809001177,"11",13.6067070463684,-344.824288043407,-311.561602314098,0.0965014684139604
0.0782535921685848,0.405280352860683,0.0373128596666779,0.00820261496137173,-0.0196943767783445,-0.024199696882501,0.614104679387807,0.0891072294435146,"12",18.0285001512971,-302.052854353053,-268.790168623744,0.127861703200689
0.309124755538024,0.264521971247348,0.101472497098241,0.00960563779884659,-0.101938328089864,-0.00618215729909675,0.0881136406190161,0.243919036689604,"13",10.8677897648321,-378.987730431329,-345.72504470202,0.0770765231548376
0.198506002628005,0.416696958089215,0.0578666256105605,0.0184653395763544,-0.0763577485199593,-0.00770683438639097,0.16058031476623,0.376727182450965,"14",16.8102714071923,-312.687345052433,-279.424659323124,0.119221783029733
0.122481444028125,0.31983438136454,0.0611434509892542,0.00497926766076055,-0.0540382984314915,-0.00991745593514294,0.627631925951519,0.541871489978403,"15",12.6089842398374,-356.399580762598,-323.136895033289,0.089425420140691
0.172883164416918,0.980784028341204,0.0453373853084354,0.0116814694269418,-0.00148706549330151,-0.0387457446392696,0.556342851095598,-0.291892007457489,"16",8.54896876333111,-415.466618362461,-382.203932633152,0.0606309841371001
0.345015179372052,0.661029736189009,0.112236950430002,0.0181205165908965,-0.110206896451322,-0.0181531336341924,0.00662854256425231,0.012742176587758,"17",9.77009198819053,-395.172305198419,-361.90961946911,0.0692914325403584
0.345356637638015,0.580227240331814,0.0920952704469511,0.0012662310442393,-0.0125874792632473,-0.00788707578226549,0.34639164655564,0.157550380957536,"18",13.2942662338988,-348.355248698584,-315.092562969275,0.0942855761269421
0.0847953714748082,0.99776204086387,6.06385916131519e-05,0.00900264479636692,-0.00230755099863768,0.000946357744474855,-0.812861632121963,-0.0281723530155719,"19",4.28636605965823,-520.40306532077,-487.140379591461,0.0303997592883563
0.125185219336411,0.737972256205669,0.0495790919661954,0.0147203878744833,-0.0347020473311961,-0.0354779007089641,0.360749977309678,-0.0968766441681764,"20",13.6352360809426,-344.505924935438,-311.243239206129,0.0967038019925007
0.424260857787543,0.0964277460806644,0.150746704061777,0.00463076481444997,-0.0675571954794753,-0.00411494984333798,0.132950907419584,0.651769661453912,"21",16.6986453282974,-313.700044262536,-280.437358533227,0.118430108711329
0.053396658774151,0.287974549366014,0.0407635032782193,0.0036346223627485,-0.0372504268703487,-0.00429870701754598,0.687666926128929,0.644468652141632,"22",8.87401167029964,-409.794540022393,-376.531854293084,0.0629362529808485
0.316562584194781,0.298988934443299,0.0192638655303959,0.00072187320036857,-0.0178424459455662,-0.000793547257754662,0.348452075234613,0.390552324320699,"23",4.4193066539859,-515.760450806663,-482.497765077354,0.0313426003828788
